athlete_certification_key,person_key,club_key,certification_type_key,person_type_key,has_certificate
7236,14492,17,1,1,1
7237,14493,17,1,1,1
7238,14495,17,1,1,1
7239,14496,17,1,1,1
7240,14498,17,1,1,1
7241,14499,17,1,1,1
7242,14500,17,1,1,1
7243,14503,17,1,1,1
7244,14504,17,1,1,1
7245,14505,121,1,1,1
7246,14507,121,1,1,1
7247,14508,121,1,1,1
7248,14510,121,1,1,1
7249,14513,121,1,1,1
7250,14515,121,1,1,1
7251,14516,121,1,1,1
7252,14518,121,1,1,1
7253,14519,121,1,1,1
7254,14520,121,1,1,1
7255,14522,121,1,1,1
7256,14524,18,1,1,1
7257,14525,18,1,1,1
7258,14526,18,1,1,1
7259,14527,18,1,1,1
7260,14528,18,1,1,1
7261,14529,18,1,1,1
7262,14531,18,1,1,1
7263,14535,18,1,1,1
7264,14536,18,1,1,1
7265,14539,18,1,1,1
7266,14540,18,1,1,1
7267,14541,18,1,1,1
7268,14543,18,1,1,1
7269,14544,18,1,1,1
7270,14545,18,1,1,1
7271,14546,18,1,1,1
7272,14548,18,1,1,1
7273,14549,18,1,1,1
7274,14551,18,1,1,1
7275,14552,18,1,1,1
7276,14554,18,1,1,1
7277,14555,18,1,1,1
7278,14556,18,1,1,1
7279,14559,88,1,1,1
7280,14565,88,1,1,1
7281,14568,88,1,1,1
7282,14570,88,1,1,1
7283,14571,88,1,1,1
7284,14575,88,1,1,1
7285,14577,88,1,1,1
7286,14578,88,1,1,1
7287,14581,88,1,1,1
7288,14582,88,1,1,1
7289,14584,88,1,1,1
7290,14586,88,1,1,1
7291,14592,88,1,1,1
7292,14597,88,1,1,1
7293,14598,88,1,1,1
7294,14599,88,1,1,1
7295,14600,88,1,1,1
7296,14601,88,1,1,1
7297,14604,88,1,1,1
7298,14605,88,1,1,1
7299,14606,88,1,1,1
7300,14608,88,1,1,1
7301,14610,88,1,1,1
7302,14612,88,1,1,1
7303,14615,88,1,1,1
7304,14616,88,1,1,1
7305,14620,88,1,1,1
7306,14621,88,1,1,1
7307,14628,88,1,1,1
7308,14633,88,1,1,1
7309,14635,88,1,1,1
7310,14637,88,1,1,1
7311,14646,88,1,1,1
7312,14649,88,1,1,1
7313,14655,88,1,1,1
7314,14656,88,1,1,1
7315,14658,88,1,1,1
7316,14659,88,1,1,1
7317,14660,88,1,1,1
7318,14666,88,1,1,1
7319,14667,88,1,1,1
7320,14672,88,1,1,1
7321,14678,29,1,1,1
7322,14679,29,1,1,1
7323,14681,29,1,1,1
7324,14682,29,1,1,1
7325,14683,29,1,1,1
7326,14684,29,1,1,1
7327,14685,152,1,1,1
7328,14687,152,1,1,1
7329,14688,152,1,1,1
7330,14689,152,1,1,1
7331,14690,152,1,1,1
7332,14691,152,1,1,1
7333,14692,152,1,1,1
7334,14693,152,1,1,1
7335,14694,152,1,1,1
7336,14695,152,1,1,1
7337,14696,152,1,1,1
7338,14697,152,1,1,1
7339,14699,144,1,1,1
7340,14701,144,1,1,1
7341,14704,144,1,1,1
7342,14705,144,1,1,1
7343,14706,144,1,1,1
